"","siteid","customerid","subscriptionid","planid","quantity","source","addressid","brand","productid","billingmethod","pricingsource"
"1",5110,4545770,1929348,31637,1,"Renewal",2520198,"ANG",2195,"send_invoice","MP"
"2",5110,4546115,1929636,31645,1,"Renewal",2521027,"ANG",2195,"send_invoice","MP"
"3",5110,4546528,1930460,31637,1,"Renewal",2522773,"ANG",2195,"send_invoice","MP"
"4",5110,4546667,1930780,31637,1,"Renewal",2523598,"ANG",2195,"send_invoice","MP"
"5",5110,4546960,1931103,31637,1,"Renewal",2524611,"ANG",2195,"send_invoice","MP"
"6",5110,4547406,1931763,31637,1,"Renewal",2526274,"ANG",2195,"send_invoice","MP"
"7",5110,4547563,1931823,31637,1,"Renewal",2526618,"ANG",2195,"send_invoice","MP"
"8",5110,4517573,1932148,31637,1,"Renewal",2528411,"ANG",2195,"send_invoice","MP"
"9",5110,4548017,1932196,31637,1,"Renewal",2528553,"ANG",2195,"send_invoice","MP"
"10",5110,4548071,1932251,31637,1,"Renewal",2528710,"ANG",2195,"send_invoice","MP"
"11",5110,4615502,1932355,31629,1,"Renewal",2529046,"ANG",2195,"send_invoice","MP"
"12",5110,4548186,1932472,31629,1,"Renewal",2529396,"ANG",2195,"send_invoice","MP"
"13",5110,4548260,1932643,31637,1,"Renewal",2529818,"ANG",2195,"send_invoice","MP"
"14",5110,4548258,1932644,31637,1,"Renewal",2529846,"ANG",2195,"send_invoice","MP"
"15",5110,4548289,1932712,31637,1,"Renewal",2530038,"ANG",2195,"send_invoice","MP"
"16",5110,4548324,1932774,31629,1,"Renewal",2530195,"ANG",2195,"send_invoice","MP"
"17",5110,4548591,1933312,31637,1,"Renewal",2531763,"ANG",2195,"send_invoice","MP"
"18",5110,4548627,1933391,31610,1,"Renewal",2531970,"ANG",2195,"send_invoice","MP"
"19",5110,4548842,1933910,31637,1,"Renewal",2533312,"ANG",2195,"send_invoice","MP"
"20",5110,4549020,1934314,31688,1,"Renewal",2534275,"ANG",2195,"send_invoice","MP"
"21",5110,4549065,1934389,31629,1,"Renewal",2534459,"ANG",2195,"send_invoice","MP"
"22",5110,4549077,1934430,31610,1,"Renewal",2534580,"ANG",2195,"send_invoice","MP"
"23",5110,4549153,1934569,31610,1,"Renewal",2534956,"ANG",2195,"send_invoice","MP"
"24",5110,4549175,1934645,31637,1,"Renewal",2535140,"ANG",2195,"send_invoice","MP"
"25",5110,4549206,1934692,31637,1,"Renewal",2535279,"ANG",2195,"send_invoice","MP"
"26",5110,4520069,1935043,31637,1,"Renewal",2536218,"ANG",2195,"send_invoice","MP"
"27",5110,4549492,1935314,31637,1,"Renewal",2536942,"ANG",2195,"send_invoice","MP"
"28",5110,4549648,1935599,31637,1,"Renewal",2537746,"ANG",2195,"send_invoice","MP"
"29",5110,4549703,1935697,31610,1,"Renewal",2538077,"ANG",2195,"send_invoice","MP"
"30",5110,4549755,1935773,31637,1,"Renewal",2538335,"ANG",2195,"send_invoice","MP"
"31",5110,4549758,1935798,31645,1,"Renewal",2538420,"ANG",2195,"send_invoice","MP"
"32",5110,4549774,1935819,31629,1,"Renewal",2538468,"ANG",2195,"send_invoice","MP"
"33",5110,4549970,1936210,31637,1,"Renewal",2539655,"ANG",2195,"send_invoice","MP"
"34",5110,4550093,1936489,31637,1,"Renewal",2540550,"ANG",2195,"send_invoice","MP"
"35",5110,4550151,1936561,31610,1,"Renewal",2540781,"ANG",2195,"send_invoice","MP"
"36",5110,4550180,1936633,31637,1,"Renewal",2540994,"ANG",2195,"send_invoice","MP"
"37",5110,4550213,1936750,31637,1,"Renewal",2541290,"ANG",2195,"send_invoice","MP"
"38",5110,4550935,1937571,31694,1,"Renewal",2543764,"ANG",2195,"send_invoice","MP"
"39",5110,4551234,1937904,31637,1,"Renewal",2544778,"ANG",2195,"send_invoice","MP"
"40",5110,4545077,1938426,31637,1,"Renewal",2517153,"ANG",2195,"send_invoice","MP"
"41",5110,4547942,1939177,31637,1,"Renewal",2528146,"ANG",2195,"send_invoice","MP"
"42",5110,4552189,1940066,31472,1,"Renewal",2548916,"ANG",2194,"send_invoice","MP"
"43",5110,4524196,1940116,31637,1,"Renewal",2549070,"ANG",2195,"send_invoice","MP"
"44",5110,4552231,1940181,31560,1,"Renewal",2549226,"ANG",2196,"send_invoice","MP"
"45",5110,4516461,1940191,31470,1,"Renewal",2524831,"ANG",2194,"send_invoice","MP"
"46",5110,4552462,1940626,31637,1,"Renewal",2550369,"ANG",2195,"send_invoice","MP"
"47",5110,4547170,1941179,31472,1,"Renewal",2525673,"ANG",2194,"send_invoice","MP"
"48",5110,4544589,1941732,31455,1,"Renewal",2514784,"ANG",2194,"send_invoice","MP"
"49",5110,4553365,1942517,31735,1,"Renewal",2554855,"ANG",2195,"send_invoice","MP"
"50",5110,4553696,1943199,31462,1,"Renewal",2556568,"ANG",2194,"send_invoice","MP"
"51",5110,4553215,1943633,31616,1,"Renewal",2554144,"ANG",2195,"send_invoice","MP"
"52",5110,4552775,1944518,31735,1,"Renewal",2551877,"ANG",2195,"send_invoice","MP"
"53",5110,4556344,1947442,31735,1,"Renewal",2566897,"ANG",2195,"send_invoice","MP"
"54",5110,4556427,1947619,31472,1,"Renewal",2567291,"ANG",2194,"send_invoice","MP"
"55",5110,4557327,1948600,31629,1,"Renewal",2569788,"ANG",2195,"send_invoice","MP"
"56",5110,4545409,1949756,31637,1,"Renewal",2518575,"ANG",2195,"send_invoice","MP"
"57",5110,4550935,1951029,31493,1,"Renewal",2543764,"ANG",2194,"send_invoice","MP"
"58",5110,4558816,1951665,31637,1,"Renewal",2577009,"ANG",2195,"send_invoice","MP"
"59",5110,4558809,1951669,31637,1,"Renewal",2577005,"ANG",2195,"send_invoice","MP"
"60",5110,4558815,1951673,31472,1,"Renewal",2577023,"ANG",2194,"send_invoice","MP"
