site_id,subscription_id,recommended_plan_id,businessunitcode,product_id,billing_method,pricing_source
5110,1929348,30437,ANG,2195,send_invoice,MP
5110,1929636,30439,ANG,2195,send_invoice,MP
5110,1930460,30437,ANG,2195,send_invoice,MP
5110,1930780,30437,ANG,2195,send_invoice,MP
5110,1931103,30437,ANG,2195,send_invoice,MP
5110,1931763,30437,ANG,2195,send_invoice,MP
5110,1931823,30437,ANG,2195,send_invoice,MP
5110,1932148,30437,ANG,2195,send_invoice,MP
5110,1932196,30437,ANG,2195,send_invoice,MP
5110,1932251,30437,ANG,2195,send_invoice,MP
5110,1932355,29854,ANG,2195,send_invoice,MP
5110,1932472,29854,ANG,2195,send_invoice,MP
5110,1932643,30437,ANG,2195,send_invoice,MP
5110,1932644,30437,ANG,2195,send_invoice,MP
5110,1932712,30437,ANG,2195,send_invoice,MP
5110,1932774,29854,ANG,2195,send_invoice,MP
5110,1933312,30437,ANG,2195,send_invoice,MP
5110,1933391,30434,ANG,2195,send_invoice,MP
5110,1933910,30437,ANG,2195,send_invoice,MP
5110,1934314,30435,ANG,2195,send_invoice,MP
5110,1934389,29854,ANG,2195,send_invoice,MP
5110,1934430,30436,ANG,2195,send_invoice,MP
5110,1934569,30436,ANG,2195,send_invoice,MP
5110,1934645,30437,ANG,2195,send_invoice,MP
5110,1934692,30437,ANG,2195,send_invoice,MP
5110,1935043,30437,ANG,2195,send_invoice,MP
5110,1935314,30437,ANG,2195,send_invoice,MP
5110,1935599,30437,ANG,2195,send_invoice,MP
5110,1935697,29854,ANG,2195,send_invoice,MP
5110,1935773,30437,ANG,2195,send_invoice,MP
5110,1935798,30439,ANG,2195,send_invoice,MP
5110,1935819,29854,ANG,2195,send_invoice,MP
5110,1936210,30437,ANG,2195,send_invoice,MP
5110,1936489,30437,ANG,2195,send_invoice,MP
5110,1936561,30434,ANG,2195,send_invoice,MP
5110,1936633,30437,ANG,2195,send_invoice,MP
5110,1936750,30437,ANG,2195,send_invoice,MP
5110,1937571,30435,ANG,2195,send_invoice,MP
5110,1937904,30437,ANG,2195,send_invoice,MP
5110,1938426,30437,ANG,2195,send_invoice,MP
5110,1939177,30437,ANG,2195,send_invoice,MP
5110,1940066,30415,ANG,2194,send_invoice,MP
5110,1940116,30437,ANG,2195,send_invoice,MP
5110,1940181,30457,ANG,2196,send_invoice,MP
5110,1940191,30414,ANG,2194,send_invoice,MP
5110,1940626,30437,ANG,2195,send_invoice,MP
5110,1941179,30415,ANG,2194,send_invoice,MP
5110,1941732,30414,ANG,2194,send_invoice,MP
5110,1942517,30435,ANG,2195,send_invoice,MP
5110,1943199,30414,ANG,2194,send_invoice,MP
5110,1943633,29854,ANG,2195,send_invoice,MP
5110,1944518,30435,ANG,2195,send_invoice,MP
5110,1947442,30435,ANG,2195,send_invoice,MP
5110,1947619,30415,ANG,2194,send_invoice,MP
5110,1948600,29854,ANG,2195,send_invoice,MP
5110,1949756,30437,ANG,2195,send_invoice,MP
5110,1951029,30413,ANG,2194,send_invoice,MP
5110,1951665,30437,ANG,2195,send_invoice,MP
5110,1951669,30437,ANG,2195,send_invoice,MP
5110,1951673,30415,ANG,2194,send_invoice,MP
5110,1954211,30415,ANG,2194,send_invoice,MP
5110,1957283,30415,ANG,2194,send_invoice,MP
5110,1957291,29854,ANG,2195,send_invoice,MP
5110,1957295,30415,ANG,2194,send_invoice,MP
5110,1957330,30457,ANG,2196,send_invoice,MP
5110,1957333,30437,ANG,2195,send_invoice,MP
5110,1957366,30415,ANG,2194,send_invoice,MP
5110,1958215,30437,ANG,2195,send_invoice,MP
5110,1958256,30414,ANG,2194,send_invoice,MP
